Observation id;Observation date;Description;Observation duration;Observation type;Source;Media duration (s);FPS;Subject;Behavior;Behavioral category;Modifier #1;Modifier #2;Behavior type;Time;Media file name;Image index;Image file path;Comment
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;First closest neighbour;Neutral behaviour;1;Certain;POINT;0.0;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;0.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;START;0.0;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;0.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Second closest neighbour;Neutral behaviour;1;Certain;POINT;0.0;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;0.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Allo-feeding;Affiliative behaviour;Received;;POINT;1.3;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;39.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;STOP;1.666;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;START;1.667;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;50.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;STOP;2.132;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Peck at food;Feeding behaviour;;;START;2.133;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;64.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Peck at food;Feeding behaviour;;;STOP;2.599;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;START;2.6;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;78.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;STOP;2.966;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;START;2.967;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;89.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;STOP;3.599;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Peck at food;Feeding behaviour;;;START;3.6;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;108.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Peck at food;Feeding behaviour;;;STOP;4.832;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;START;4.833;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;145.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Consume food;Feeding behaviour;;;STOP;5.266;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;START;5.267;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;158.0;;
A_33_04/06/22;2023-06-27 13:33:30;26-05-2022 - 12-06-2022  IMG_0090;22.234;Media file(s);player #1:D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;30.0;30.0;Raven 1;Other behaviour;Neutral behaviour;;;STOP;6.699;D:/Ravenproject/ASK/20220526 - 20220612/IMG_0090.MP4;;;
